年,降水量合計 (mm),降水量最大 日 (mm),降水量最大 1時間 (mm),降水量最大 10分間 (mm),気温 平均 日平均 （℃),気温 平均 日最高 （℃),気温 平均 日最低 （℃),気温 最高 （℃),気温 最低 （℃),湿度 平均 (％),湿度 最小 (％),風向・風速 平均風速 （m/s）,風向・風速 最大風速 風速 （m/s）,風向・風速 最大風速 風向,風向・風速 瞬間最大風速 風速 （m/s）,風向・風速 瞬間最大風速 風向,日照時間 （h）
1976,1829,204,37,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1977,1489,164,48,///,///,///,///,///,///,///,///,///,///,///,///,///,///
1978,1106,106,51,///,16.5 ],19.9 ],13.3 ],33.2,-2.9 ],///,///,2.6 ],18 ],南西,///,///,2466.5 ]
1979,1548,103,58,///,16.3,19.6,13.2,32.9,0,///,///,2.7,16,南南西,///,///,2294.6
1980,2010,98,49,///,15,18.4,12,30.8,-0.3,///,///,2.9,16,南西,///,///,2212.8
1981,1441,262,58,///,14.9,18.3,11.6,31.8,-1.4,///,///,2.7,14,西南西,///,///,2483.8
1982,1851,99,49,///,15.5,18.8,12.4,31.8,-3.8,///,///,2.8,14,南南西,///,///,2424.6
1983,1590,118,43,///,15.3,18.7,12.1,33.3,-2.2,///,///,2.8,14,西南西,///,///,2459.8
1984,887,95,18,///,14.6,18,11.5,34.2,-3.6,///,///,2.6,12,南西,///,///,2428.9
1985,1694,86,26,///,15.2,18.6,12.3,32.2,-2.8,///,///,2.8,17,南南西,///,///,2330.6
1986,1567,164,36,///,14.6,18.1,11.6,31.3,-1.4,///,///,2.6,13,南西,///,///,2402.4
1987,1236,60,25,///,15.7,19.1,12.5,33.3,-2.2,///,///,2.9,14,南南西,///,///,295.3 ]
1988,1469,127,29,///,15,18.3,11.9,31.7,-2.1,///,///,2.6,15,西南西,///,///,1866.6
1989,1997,201,32,///,15.7,19,12.8,32.3,-1.7,///,///,2.6,12,南西,///,///,1879.2
1990,1635,208,43,///,16.5,19.9,13.4,32.9,-1.6,///,///,2.7,15 ],///,///,///,1782.7
1991,2024,114,28,///,15.8,19.2,12.8,34.3,0.2,///,///,2.5,14,南西,///,///,1578.1
1992,1616,165 ],49 ],///,15.5,18.9,12.3,33.9,-1.1,///,///,2.6,12 ],西南西,///,///,1753.7
1993,1884,167,67,///,15,18.4,11.9,30.6,-0.6,///,///,2.7,13,北西,///,///,1667.3
1994,1260,100,49,///,16.3,19.9,13,34.2,-2,///,///,2.4,12,北西,///,///,1964.6
1995,1368,90,32,///,15.7,19.3,12.4,33.2,-1.7,///,///,2.6,14,南南西,///,///,1986.3
1996,1404,187,35,///,15.3,18.9,12,33,-1.8,///,///,2.4,15,北北西,///,///,1961.2
1997,1234,114,28,///,16.1,19.8,12.8,32.6,-2.5,///,///,2.7,13,南南西,///,///,2118.5
1998,1515,65,26,///,16.5,19.8,13.4,33,-1.9,///,///,2.5,16,南南西,///,///,1639.7
1999,1475,157,33,///,16.6,20.3,13.3,32.9,-2.3,///,///,2.5,15,南南西,///,///,2118
2000,1380,102,25,///,16.2,19.6,13,35.8,-1.7,///,///,2.4,13,南南西,///,///,1975.8
2001,1532,132,29,///,15.9,19.5,12.7,34.9,-1.5,///,///,2.3,14,南西,///,///,2043
2002,1459,123,23,///,16.2,19.6,13.1,33.2,-0.7,///,///,2.8,13,南南西,///,///,2040.3
2003,1774,214,29,///,15.7,19.4,12.5,33.4,-1.6,///,///,2.6,13,西南西,///,///,1740
2004,1756,128,60,///,16.9,20.6,13.4,36.4,-0.9,///,///,2.8,18,南南西,///,///,2179.9
2005,1399,96,28,///,15.9,19.7,12.4,33.2,-1.1,///,///,2.7,13,南南東,///,///,2032
2006,1700,128,43,///,16,19.6,12.9,33.3,-1.7,///,///,2.5,13,南西,///,///,1677.4
2007,1427,117,31,///,16.3,19.9,13.1,35.4,0.4,///,///,2.7 ],15 ],南南西,///,///,2134.8
2008,1713.5,121,47,4.0 ],15.9,19.6,12.7,34.1,-1,///,///,2.5,12,南西,20.7 ],南西,2043.3
2009,1664,115.5,54.5,15.5,16.2,20.1,13,32.6,-0.4,///,///,2.7,13.7,南南西,25,南西,1986.2
2010,1751.5,69.5,41.5,13,16.5,20.2,13.2,36,-0.3,///,///,3.6,16.3,南南西,28.4,南南西,2196.9
2011,1303.5,98,21,10.5,16.1,19.9,12.8,33.2,-1.8,///,///,3.6,18.6,南,31.3,南南西,2226.4
2012,1996.5,122,51,15,15.8,19.6,12.4,33.7,-2.5,///,///,3.5,18.5,南南西,30.8,南南西,2152.6
2013,1284.5,154,43,11,16.4,20.3,12.9,35.8,-1,///,///,3.6,20.2,北,37,北,2294
2014,1642.5,134,34,11,15.9,19.8,12.6,34,-1,///,///,3.6,22.1,南南西,38.5,南南西,2234
2015,1817.5,113,51,17.5,16.3,20,13.2,35,-0.8,///,///,3.5,14.4,南南西,25.7,南,2095.6
2016,1482,136.5,33,11.5,16.6,20.4,13.3,34.3,-2.5,///,///,3.3,17.4,南南西,28.3,南南西,1979.9
2017,1661.5,198.5,87,20.5,16,19.8,12.7,34.4,-2.2,///,///,3.4,18.1,南,34.8,南,2241.8
2018,1342.5,73,27.5,10,16.9,20.5,13.6,34.2,-3.5,///,///,3.7,20.9,南南西,36.5,南,2245.2
2019,1646.5,147.5,33,11,16.7,20.5,13.5,34.5,0.7,///,///,3.5,21.2,南,41.7,東,2119.2
2020,1704,84,35,14.5,16.9,20.6,13.6,35.5,-0.2,///,///,3.6,13.1,南南西,24,南南西,2122.6
